
Session altered.

=== CODE GROUPS ===
GROUP_CODE|GROUP_NAME|DESCRIPTION|USE_YN
BILLING_STATUS|청구상태|청구의 수납 상태|Y
CONTRACT_STATUS|계약상태|계약의 진행 상태|Y
EQUIPMENT_TYPE|장비유형|렌탈 장비의 분류|Y
NOTIFICATION_TYPE|알림유형|Kafka Consumer 알림 유형|Y
PAYMENT_METHOD|수납방법|수납 결제 수단|Y
VISIT_TYPE|방문유형|기사 방문의 목적|Y

=== CODES ===
GROUP_CODE|CODE_VALUE|CODE_NAME|SORT_ORDER|USE_YN
BILLING_STATUS|UNPAID|미납|10|Y
BILLING_STATUS|OVERDUE|연체|20|Y
BILLING_STATUS|PAID|수납완료|30|Y
BILLING_STATUS|CANCELLED|취소|40|Y
CONTRACT_STATUS|ACTIVE|정상|10|Y
CONTRACT_STATUS|SUSPENDED|일시정지|20|Y
CONTRACT_STATUS|TERMINATED|해지|30|Y
EQUIPMENT_TYPE|AC|가전|10|Y
EQUIPMENT_TYPE|FURNITURE|가구|20|Y
EQUIPMENT_TYPE|IT|IT장비|30|Y
EQUIPMENT_TYPE|MEDICAL|의료장비|40|Y
NOTIFICATION_TYPE|BILLING_CREATED|청구 생성|10|Y
NOTIFICATION_TYPE|PAYMENT_COMPLETED|수납 완료|20|Y
NOTIFICATION_TYPE|PAYMENT_OVERDUE|연체 발생|30|Y
NOTIFICATION_TYPE|VISIT_ASSIGNED|방문 배정|40|Y
PAYMENT_METHOD|CARD|카드|10|Y
PAYMENT_METHOD|BANK|계좌이체|20|Y
PAYMENT_METHOD|CASH|현금|30|Y
PAYMENT_METHOD|TOSS|토스페이먼츠|40|Y
VISIT_TYPE|INSTALL|설치|10|Y
VISIT_TYPE|CHECK|점검|20|Y
VISIT_TYPE|COLLECT|수거|30|Y

=== ROLES ===
ROLE_ID|ROLE_CODE|ROLE_NAME|USE_YN
1|SUPER_ADMIN|최고관리자|Y
51|ADMIN|관리자|Y
101|VIEWER|조회전용|Y

=== AUTHS ===
AUTH_CODE|AUTH_NAME|MENU_ID|AUTH_TYPE|SORT_ORDER|USE_YN
CODE_VIEW|공통코드 조회|351|VIEW|10|Y
CODE_CREATE|공통코드 등록|351|CREATE|20|Y
CODE_UPDATE|공통코드 수정|351|UPDATE|30|Y
CODE_DELETE|공통코드 삭제|351|DELETE|40|Y
MENU_VIEW|메뉴 조회|401|VIEW|10|Y
MENU_CREATE|메뉴 등록|401|CREATE|20|Y
MENU_UPDATE|메뉴 수정|401|UPDATE|30|Y
MENU_DELETE|메뉴 삭제|401|DELETE|40|Y
ROLE_VIEW|역할 조회|451|VIEW|10|Y
ROLE_CREATE|역할 등록|451|CREATE|20|Y
ROLE_UPDATE|역할 수정|451|UPDATE|30|Y
ROLE_DELETE|역할 삭제|451|DELETE|40|Y
AUTH_VIEW|권한 키 마스터 조회|451|VIEW|50|Y
AUTH_ASSIGN|역할에 권한 매핑|451|UPDATE|60|Y
USER_VIEW|관리자 조회|501|VIEW|10|Y
USER_CREATE|관리자 등록|501|CREATE|20|Y
USER_UPDATE|관리자 수정|501|UPDATE|30|Y
USER_DELETE|관리자 비활성화|501|DELETE|40|Y
USER_UNLOCK|관리자 잠금해제|501|EXECUTE|50|Y
USER_RESET_PASSWORD|비밀번호 재설정|501|EXECUTE|60|Y
CUSTOMER_VIEW|고객 조회|551|VIEW|10|Y
CUSTOMER_CREATE|고객 등록|551|CREATE|20|Y
CUSTOMER_UPDATE|고객 수정|551|UPDATE|30|Y
CUSTOMER_DELETE|고객 비활성화|551|DELETE|40|Y
CUSTOMER_EXPORT|고객 엑셀 다운로드|551|EXECUTE|50|Y
EQUIPMENT_VIEW|장비 조회|601|VIEW|10|Y
EQUIPMENT_CREATE|장비 등록|601|CREATE|20|Y
EQUIPMENT_UPDATE|장비 수정|601|UPDATE|30|Y
EQUIPMENT_DELETE|장비 비활성화|601|DELETE|40|Y
PRODUCT_VIEW|상품 조회|651|VIEW|10|Y
PRODUCT_CREATE|상품 등록|651|CREATE|20|Y
PRODUCT_UPDATE|상품 수정|651|UPDATE|30|Y
PRODUCT_DELETE|상품 비활성화|651|DELETE|40|Y
CONTRACT_VIEW|계약 조회|701|VIEW|10|Y
