
Session altered.

=== TABLES ===
TABLE_NAME|COMMENTS
BL_BATCH_LOG|
BL_BILLING|
BL_OVERDUE|
BL_PAYMENT|
CM_AUTH|
CM_CODE|
CM_CODE_GROUP|
CM_MENU|
CM_NOTIFICATION|
CM_ROLE|
CM_ROLE_AUTH|
CM_USER|
CM_USER_AUTH|
CT_CONTRACT|
CT_CUSTOMER|
CT_ENGINEER|
CT_EQUIPMENT|
CT_PRODUCT|
CT_VISIT|

=== COLUMNS ===
TABLE_NAME|COLUMN_NAME|DATA_TYPE|DATA_LENGTH|NULLABLE
BL_BATCH_LOG|BATCH_LOG_ID|NUMBER|22|N
BL_BATCH_LOG|BATCH_TYPE|VARCHAR2|50|N
BL_BATCH_LOG|BILLING_MONTH|VARCHAR2|7|Y
BL_BATCH_LOG|BATCH_STATUS|VARCHAR2|20|N
BL_BATCH_LOG|TARGET_COUNT|NUMBER|22|N
BL_BATCH_LOG|PROCESS_COUNT|NUMBER|22|N
BL_BATCH_LOG|SUCCESS_COUNT|NUMBER|22|N
BL_BATCH_LOG|FAIL_COUNT|NUMBER|22|N
BL_BATCH_LOG|DURATION_MS|NUMBER|22|Y
BL_BATCH_LOG|ERROR_MSG|VARCHAR2|2000|Y
BL_BATCH_LOG|STARTED_AT|TIMESTAMP(0)|7|N
BL_BATCH_LOG|COMPLETED_AT|TIMESTAMP(0)|7|Y
BL_BATCH_LOG|ROUND_NO|NUMBER|22|Y
BL_BATCH_LOG|BATCH_PARAMS|VARCHAR2|500|Y
BL_BATCH_LOG|WRK_RMK|VARCHAR2|100|Y
BL_BATCH_LOG|FIRS_REG_PGM_ID|VARCHAR2|50|N
BL_BATCH_LOG|FIRS_REG_DTS|TIMESTAMP(0)|7|N
BL_BATCH_LOG|FIRS_REG_USER_ID|VARCHAR2|20|N
BL_BATCH_LOG|FIRS_REG_IP|VARCHAR2|50|N
BL_BATCH_LOG|FINA_REG_PGM_ID|VARCHAR2|50|N
BL_BATCH_LOG|FINA_REG_DTS|TIMESTAMP(0)|7|N
BL_BATCH_LOG|FINA_REG_USER_ID|VARCHAR2|20|N
BL_BATCH_LOG|FINA_REG_IP|VARCHAR2|50|N
BL_BILLING|BILLING_ID|NUMBER|22|N
BL_BILLING|BILLING_NO|VARCHAR2|50|N
BL_BILLING|CONTRACT_ID|NUMBER|22|N
BL_BILLING|CUSTOMER_ID|NUMBER|22|N
BL_BILLING|BATCH_LOG_ID|NUMBER|22|Y
BL_BILLING|BILLING_MONTH|VARCHAR2|7|N
BL_BILLING|BILLING_AMOUNT|NUMBER|22|N
BL_BILLING|ISSUE_DATE|DATE|7|N
BL_BILLING|DUE_DATE|DATE|7|N
BL_BILLING|BILLING_STATUS|VARCHAR2|20|N
BL_BILLING|PAID_AT|TIMESTAMP(0)|7|Y
BL_BILLING|WRK_RMK|VARCHAR2|100|Y
BL_BILLING|FIRS_REG_PGM_ID|VARCHAR2|50|N
BL_BILLING|FIRS_REG_DTS|TIMESTAMP(0)|7|N
BL_BILLING|FIRS_REG_USER_ID|VARCHAR2|20|N
BL_BILLING|FIRS_REG_IP|VARCHAR2|50|N
BL_BILLING|FINA_REG_PGM_ID|VARCHAR2|50|N
BL_BILLING|FINA_REG_DTS|TIMESTAMP(0)|7|N
BL_BILLING|FINA_REG_USER_ID|VARCHAR2|20|N
BL_BILLING|FINA_REG_IP|VARCHAR2|50|N
BL_OVERDUE|OVERDUE_ID|NUMBER|22|N
BL_OVERDUE|BILLING_ID|NUMBER|22|N
BL_OVERDUE|CUSTOMER_ID|NUMBER|22|N
BL_OVERDUE|OVERDUE_AMOUNT|NUMBER|22|N
BL_OVERDUE|OVERDUE_DAYS|NUMBER|22|N
BL_OVERDUE|RESOLVED_AT|TIMESTAMP(0)|7|Y
BL_OVERDUE|RESOLVE_REASON|VARCHAR2|1000|Y
BL_OVERDUE|WRK_RMK|VARCHAR2|100|Y
BL_OVERDUE|FIRS_REG_PGM_ID|VARCHAR2|50|N
BL_OVERDUE|FIRS_REG_DTS|TIMESTAMP(0)|7|N
BL_OVERDUE|FIRS_REG_USER_ID|VARCHAR2|20|N
BL_OVERDUE|FIRS_REG_IP|VARCHAR2|50|N
BL_OVERDUE|FINA_REG_PGM_ID|VARCHAR2|50|N
BL_OVERDUE|FINA_REG_DTS|TIMESTAMP(0)|7|N
BL_OVERDUE|FINA_REG_USER_ID|VARCHAR2|20|N
BL_OVERDUE|FINA_REG_IP|VARCHAR2|50|N
BL_PAYMENT|PAYMENT_ID|NUMBER|22|N
BL_PAYMENT|PAYMENT_NO|VARCHAR2|50|N
BL_PAYMENT|BILLING_ID|NUMBER|22|N
BL_PAYMENT|CUSTOMER_ID|NUMBER|22|N
BL_PAYMENT|PAYMENT_AMOUNT|NUMBER|22|N
BL_PAYMENT|PAYMENT_METHOD|VARCHAR2|20|N
BL_PAYMENT|PAYMENT_DATE|DATE|7|N
BL_PAYMENT|PAYMENT_STATUS|VARCHAR2|20|N
BL_PAYMENT|CANCELLED_AT|TIMESTAMP(0)|7|Y
BL_PAYMENT|CANCEL_REASON|VARCHAR2|1000|Y
BL_PAYMENT|TOSS_ORDER_ID|VARCHAR2|200|Y
BL_PAYMENT|TOSS_PAYMENT_KEY|VARCHAR2|200|Y
BL_PAYMENT|WRK_RMK|VARCHAR2|100|Y
BL_PAYMENT|FIRS_REG_PGM_ID|VARCHAR2|50|N
BL_PAYMENT|FIRS_REG_DTS|TIMESTAMP(0)|7|N
BL_PAYMENT|FIRS_REG_USER_ID|VARCHAR2|20|N
BL_PAYMENT|FIRS_REG_IP|VARCHAR2|50|N
BL_PAYMENT|FINA_REG_PGM_ID|VARCHAR2|50|N
BL_PAYMENT|FINA_REG_DTS|TIMESTAMP(0)|7|N
BL_PAYMENT|FINA_REG_USER_ID|VARCHAR2|20|N
BL_PAYMENT|FINA_REG_IP|VARCHAR2|50|N
CM_AUTH|AUTH_CODE|VARCHAR2|50|N
CM_AUTH|AUTH_NAME|VARCHAR2|100|N
CM_AUTH|MENU_ID|NUMBER|22|Y
CM_AUTH|AUTH_TYPE|VARCHAR2|20|N
CM_AUTH|SORT_ORDER|NUMBER|22|N
CM_AUTH|USE_YN|VARCHAR2|1|N
CM_AUTH|WRK_RMK|VARCHAR2|100|Y
CM_AUTH|FIRS_REG_PGM_ID|VARCHAR2|50|N
CM_AUTH|FIRS_REG_DTS|TIMESTAMP(0)|7|N
CM_AUTH|FIRS_REG_USER_ID|VARCHAR2|20|N
CM_AUTH|FIRS_REG_IP|VARCHAR2|50|N
CM_AUTH|FINA_REG_PGM_ID|VARCHAR2|50|N
CM_AUTH|FINA_REG_DTS|TIMESTAMP(0)|7|N
CM_AUTH|FINA_REG_USER_ID|VARCHAR2|20|N
CM_AUTH|FINA_REG_IP|VARCHAR2|50|N
CM_CODE|CODE_ID|NUMBER|22|N
CM_CODE|GROUP_CODE|VARCHAR2|50|N
CM_CODE|CODE_VALUE|VARCHAR2|50|N
CM_CODE|CODE_NAME|VARCHAR2|100|N
CM_CODE|SORT_ORDER|NUMBER|22|N
CM_CODE|DESCRIPTION|VARCHAR2|200|Y
CM_CODE|PROP_VAL1|VARCHAR2|100|Y
CM_CODE|PROP_VAL2|VARCHAR2|100|Y
CM_CODE|PROP_VAL3|VARCHAR2|100|Y
CM_CODE|USE_YN|VARCHAR2|1|N
CM_CODE|WRK_RMK|VARCHAR2|100|Y
CM_CODE|FIRS_REG_PGM_ID|VARCHAR2|50|N
CM_CODE|FIRS_REG_DTS|TIMESTAMP(0)|7|N
CM_CODE|FIRS_REG_USER_ID|VARCHAR2|20|N
CM_CODE|FIRS_REG_IP|VARCHAR2|50|N
CM_CODE|FINA_REG_PGM_ID|VARCHAR2|50|N
CM_CODE|FINA_REG_DTS|TIMESTAMP(0)|7|N
CM_CODE|FINA_REG_USER_ID|VARCHAR2|20|N
CM_CODE|FINA_REG_IP|VARCHAR2|50|N
CM_CODE_GROUP|GROUP_CODE|VARCHAR2|50|N
CM_CODE_GROUP|GROUP_NAME|VARCHAR2|100|N
CM_CODE_GROUP|DESCRIPTION|VARCHAR2|500|Y
CM_CODE_GROUP|SYSTEM_YN|VARCHAR2|1|N
CM_CODE_GROUP|USE_YN|VARCHAR2|1|N
CM_CODE_GROUP|WRK_RMK|VARCHAR2|100|Y
CM_CODE_GROUP|FIRS_REG_PGM_ID|VARCHAR2|50|N
CM_CODE_GROUP|FIRS_REG_DTS|TIMESTAMP(0)|7|N
CM_CODE_GROUP|FIRS_REG_USER_ID|VARCHAR2|20|N
CM_CODE_GROUP|FIRS_REG_IP|VARCHAR2|50|N
CM_CODE_GROUP|FINA_REG_PGM_ID|VARCHAR2|50|N
CM_CODE_GROUP|FINA_REG_DTS|TIMESTAMP(0)|7|N
CM_CODE_GROUP|FINA_REG_USER_ID|VARCHAR2|20|N
CM_CODE_GROUP|FINA_REG_IP|VARCHAR2|50|N
CM_MENU|MENU_ID|NUMBER|22|N
CM_MENU|PARENT_MENU_ID|NUMBER|22|Y
CM_MENU|MENU_DEPTH|NUMBER|22|N
CM_MENU|MENU_NAME|VARCHAR2|100|N
CM_MENU|MENU_TYPE|VARCHAR2|20|N
CM_MENU|MENU_URL|VARCHAR2|200|Y
CM_MENU|ICON_CLASS|VARCHAR2|50|Y
CM_MENU|SORT_ORDER|NUMBER|22|N
CM_MENU|USE_YN|VARCHAR2|1|N
CM_MENU|WRK_RMK|VARCHAR2|100|Y
CM_MENU|FIRS_REG_PGM_ID|VARCHAR2|50|N
CM_MENU|FIRS_REG_DTS|TIMESTAMP(0)|7|N
CM_MENU|FIRS_REG_USER_ID|VARCHAR2|20|N
CM_MENU|FIRS_REG_IP|VARCHAR2|50|N
CM_MENU|FINA_REG_PGM_ID|VARCHAR2|50|N
CM_MENU|FINA_REG_DTS|TIMESTAMP(0)|7|N
CM_MENU|FINA_REG_USER_ID|VARCHAR2|20|N
CM_MENU|FINA_REG_IP|VARCHAR2|50|N
CM_NOTIFICATION|NOTIFICATION_ID|NUMBER|22|N
CM_NOTIFICATION|RECIPIENT_USER_ID|NUMBER|22|Y
CM_NOTIFICATION|NOTIFICATION_TYPE|VARCHAR2|50|N
CM_NOTIFICATION|MESSAGE|VARCHAR2|1000|N
CM_NOTIFICATION|REF_TYPE|VARCHAR2|50|Y
CM_NOTIFICATION|REF_ID|NUMBER|22|Y
CM_NOTIFICATION|READ_YN|VARCHAR2|1|N
CM_NOTIFICATION|WRK_RMK|VARCHAR2|100|Y
CM_NOTIFICATION|FIRS_REG_PGM_ID|VARCHAR2|50|N
